Date,beta_1,beta_2,beta_3,beta_4,beta_5,SP500
16-Aug-1996,0.000979539,0.049988317,0.004310127,0.001497843,0.002328636,0.013749108
19-Aug-1996,0.000911511,0.039450073,0.005184599,0.001660818,0.003167295,0.011456352
20-Aug-1996,0.000914188,0.043482251,0.004642037,0.00157012,0.002916811,0.010722886
21-Aug-1996,0.000894884,0.036713533,0.004437778,0.001497494,0.002644508,0.011601608
22-Aug-1996,0.00085756,0.031104915,0.004173658,0.001516739,0.002410309,0.012077478
23-Aug-1996,0.000808317,0.025421965,0.003975745,0.001462085,0.002307031,0.008641148
26-Aug-1996,0.000788271,0.030835927,0.003689204,0.001372357,0.002079435,0.011765147
27-Aug-1996,0.000962559,0.062291048,0.003687503,0.001335592,0.002036291,0.014626263
28-Aug-1996,0.00121807,0.050719175,0.003334568,0.001371019,0.001899976,0.012457328
29-Aug-1996,0.001081288,0.049265227,0.003084322,0.001315882,0.001721565,0.013817301
30-Aug-1996,0.001184215,0.058665526,0.003318009,0.00123964,0.001741222,0.021630464
03-sep-96,0.001363585,0.087549558,0.003993731,0.001244884,0.001800484,0.027199455
04-sep-96,0.001549484,0.123878413,0.004091089,0.001242029,0.001636989,0.022864672
05-sep-96,0.001460969,0.117604087,0.003961256,0.00122715,0.001698134,0.021227746
06-sep-96,0.00178957,0.192719309,0.004141828,0.001536485,0.002090333,0.028816262
09-sep-96,0.002756921,0.135354283,0.006220963,0.001610076,0.00223221,0.020696484
10-sep-96,0.002196885,0.100188318,0.006321889,0.001580319,0.002299009,0.013852242
11-sep-96,0.001789119,0.085781002,0.005780762,0.001477932,0.002072479,0.013844465
12-sep-96,0.001598679,0.085443528,0.005734062,0.001375133,0.002216642,0.011527682
13-sep-96,0.001384387,0.081422019,0.005423806,0.001295864,0.002018764,0.009639698
16-sep-96,0.0012372,0.060089245,0.004922461,0.001672551,0.001836904,0.006695008
17-sep-96,0.001482852,0.068250812,0.004820167,0.001600287,0.002133607,0.006226305
18-sep-96,0.00155095,0.062505805,0.00431706,0.001480214,0.001927036,0.007973184
19-sep-96,0.001373471,0.062453387,0.004119494,0.001587274,0.001876652,0.009897066
20-sep-96,0.001205061,0.053001187,0.003739526,0.002029856,0.001775322,0.009531385
23-sep-96,0.001071869,0.044522458,0.003715038,0.001846598,0.001643256,0.007951955
24-sep-96,0.001119432,0.064101526,0.003517806,0.002212176,0.001501611,0.009285712
25-sep-96,0.001448979,0.052909479,0.003592337,0.002005984,0.001426487,0.010607292
26-sep-96,0.001260791,0.049054196,0.003246066,0.001915892,0.001435405,0.010992121
27-sep-96,0.001132359,0.048396691,0.003370138,0.001747953,0.0013264,0.011465534
30-sep-96,0.001150682,0.03999982,0.003130593,0.001617944,0.00131509,0.011578666
01-oct-96,0.001164086,0.060822189,0.003153027,0.001558111,0.00134078,0.011394618
02-oct-96,0.001092036,0.057201452,0.004061683,0.00164499,0.001546438,0.010814781
03-oct-96,0.001047351,0.052698869,0.003809063,0.001576429,0.00164774,0.008792797
04-oct-96,0.001004525,0.051904345,0.003425213,0.001547072,0.001502462,0.010565138
07-oct-96,0.001212074,0.04502911,0.003915776,0.001435835,0.001673488,0.007151703
08-oct-96,0.001243247,0.053112825,0.003523258,0.00139952,0.001660704,0.007089181
09-oct-96,0.00112274,0.056120214,0.003679609,0.00132388,0.001575902,0.009729557
10-oct-96,0.001046286,0.060854311,0.0037016,0.001719725,0.001739064,0.013294215
11-oct-96,0.000982209,0.061689518,0.003485119,0.001798562,0.001780615,0.015156377
14-oct-96,0.000913912,0.045495628,0.003443789,0.001682736,0.001631342,0.010938766
15-oct-96,0.000862672,0.042969513,0.00315774,0.001606868,0.001628796,0.009481547
16-oct-96,0.000894269,0.053530937,0.002965984,0.001534094,0.001520168,0.010726999
17-oct-96,0.00088288,0.046332628,0.0027068,0.001424313,0.001389402,0.009955526
18-oct-96,0.00084606,0.043388911,0.002475964,0.001329669,0.001276638,0.008971633
21-oct-96,0.000831525,0.037391643,0.002498059,0.001293056,0.001547547,0.007597563
22-oct-96,0.0008301,0.052958176,0.002272704,0.001219765,0.001476436,0.009140593
23-oct-96,0.000982427,0.056766593,0.003412471,0.001329276,0.002045361,0.012323485
24-oct-96,0.000944029,0.051046695,0.00324234,0.001523448,0.001872375,0.012174122
