Date,Open,High,Low,Close,AdjClose,Volume,Rf,Ret_m_Rf_dvdy
13/08/96,665.77002,665.77002,659.130005,660.200012,660.200012,362470000,0.019,-0.008476147
14/08/96,660.200012,662.419983,658.469971,662.049988,662.049988,343460000,0.019,0.002723537
15/08/96,662.049988,664.179993,660.640015,662.280029,662.280029,323950000,0.019,0.000272718
16/08/96,662.280029,666.340027,662.26001,665.210022,665.210022,337650000,0.019,0.004339653
19/08/96,665.210022,667.119995,665,666.580017,666.580017,294080000,0.019,0.001982685
20/08/96,666.580017,666.98999,665.150024,665.690002,665.690002,334960000,0.019,-0.001410778
21/08/96,665.690002,665.690002,662.159973,665.070007,665.070007,348820000,0.019,-0.00100648
22/08/96,665.070007,670.679993,664.880005,670.679993,670.679993,354950000,0.019,0.008325114
23/08/96,670.679993,670.679993,664.929993,667.030029,667.030029,308010000,0.019,-0.005531736
26/08/96,667.030029,667.030029,662.359985,663.880005,663.880005,281430000,0.019,-0.004808338
27/08/96,663.880005,666.400024,663.5,666.400024,666.400024,310520000,0.019,0.00371402
28/08/96,666.400024,667.409973,664.390015,664.809998,664.809998,296440000,0.019,-0.002463534
29/08/96,664.809998,664.809998,655.349976,657.400024,657.400024,321120000,0.019,-0.011283274
30/08/96,657.400024,657.710022,650.52002,651.98999,651.98999,258380000,0.019,-0.008338178
03/09/96,651.98999,655.130005,643.969971,654.719971,654.719971,345740000,0.022,0.004092055
04/09/96,654.719971,655.820007,652.929993,655.609985,655.609985,351290000,0.022,0.001272103
05/09/96,655.609985,655.609985,648.890015,649.440002,649.440002,361430000,0.022,-0.009541976
06/09/96,649.440002,658.210022,649.440002,655.679993,655.679993,348710000,0.022,0.009476043
09/09/96,655.679993,663.77002,655.679993,663.76001,663.76001,311530000,0.022,0.012161444
10/09/96,663.76001,665.570007,661.549988,663.809998,663.809998,372960000,0.022,-1.10E-05
11/09/96,663.809998,667.72998,661.789978,667.280029,667.280029,376880000,0.022,0.005127475
12/09/96,667.280029,673.070007,667.280029,671.150024,671.150024,398820000,0.022,0.005696548
13/09/96,671.150024,681.390015,671.150024,680.539978,680.539978,488360000,0.022,0.013807519
16/09/96,680.539978,686.47998,680.530029,683.97998,683.97998,430080000,0.022,0.004955725
17/09/96,683.97998,685.799988,679.960022,682.940002,682.940002,449850000,0.022,-0.001607992
18/09/96,682.940002,683.77002,679.75,681.469971,681.469971,396600000,0.022,-0.002241179
19/09/96,681.469971,684.070007,679.059998,683,683,398580000,0.022,0.002156317
20/09/96,683,687.070007,683,687.030029,687.030029,519420000,0.022,0.005796787
23/09/96,687.030029,687.030029,681.01001,686.47998,686.47998,297760000,0.022,-0.000887294
24/09/96,686.47998,690.880005,683.539978,685.609985,685.609985,460150000,0.022,-0.001354486
25/09/96,685.609985,688.26001,684.919983,685.830017,685.830017,451710000,0.022,0.000234522
26/09/96,685.830017,690.150024,683.77002,685.859985,685.859985,500870000,0.022,-4.27E-05
27/09/96,685.859985,687.109985,683.72998,686.190002,686.190002,414760000,0.022,0.000394702
30/09/96,686.190002,690.109985,686.030029,687.330017,687.330017,388570000,0.022,0.001573636
01/10/96,687.309998,689.539978,684.440002,689.080017,689.080017,421550000,0.018,0.002472055
02/10/96,689.080017,694.820007,689.080017,694.01001,694.01001,440130000,0.018,0.007058191
03/10/96,694.01001,694.809998,691.780029,692.780029,692.780029,386500000,0.018,-0.001844647
04/10/96,692.780029,701.73999,692.780029,701.460022,701.460022,463940000,0.018,0.012380585
07/10/96,701.460022,704.169983,701.390015,703.340027,703.340027,380750000,0.018,0.002605753
08/10/96,703.340027,705.76001,699.880005,700.640015,700.640015,435070000,0.018,-0.003917024
09/10/96,700.640015,702.359985,694.419983,696.73999,696.73999,408450000,0.018,-0.005652718
10/10/96,696.73999,696.820007,693.340027,694.609985,694.609985,394950000,0.018,-0.003132577
11/10/96,694.609985,700.669983,694.609985,700.659973,700.659973,396050000,0.018,0.008601401
14/10/96,700.659973,705.159973,700.659973,703.539978,703.539978,322000000,0.018,0.004031199
15/10/96,703.539978,708.070007,699.070007,702.570007,702.570007,458980000,0.018,-0.001450445
16/10/96,702.570007,704.419983,699.150024,704.409973,704.409973,441410000,0.018,0.002544691
17/10/96,705,708.52002,704.76001,706.98999,706.98999,478550000,0.018,0.003585179
18/10/96,706.98999,711.039978,706.109985,710.820007,710.820007,473020000,0.018,0.005331942
21/10/96,710.820007,714.099976,707.710022,709.849976,709.849976,414630000,0.018,-0.00143639
22/10/96,709.849976,709.849976,704.549988,706.570007,706.570007,410790000,0.018,-0.004702153
23/10/96,706.570007,707.309998,700.97998,707.27002,707.27002,442170000,0.018,0.000919436
24/10/96,707.27002,708.25,702.109985,702.289978,702.289978,418970000,0.018,-0.007136917
25/10/96,702.289978,704.109985,700.530029,700.919983,700.919983,367640000,0.018,-0.002023453
28/10/96,700.919983,705.400024,697.25,697.26001,697.26001,383620000,0.018,-0.005306144
29/10/96,697.26001,703.25,696.219971,701.5,701.5,443890000,0.018,0.005991723
30/10/96,701.5,703.440002,700.049988,700.900024,700.900024,437770000,0.018,-0.000926435
31/10/96,700.900024,706.609985,700.349976,705.27002,705.27002,482840000,0.018,0.006144686
01/11/96,705.27002,708.599976,701.299988,703.77002,703.77002,465510000,0.02,-0.002207692
04/11/96,703.77002,707.02002,702.840027,706.72998,706.72998,398790000,0.02,0.004118461
05/11/96,706.72998,714.559998,706.72998,714.140015,714.140015,486660000,0.02,0.010351791
06/11/96,714.140015,724.599976,712.830017,724.590027,724.590027,509600000,0.02,0.014448391
07/11/96,724.590027,729.48999,722.22998,727.650024,727.650024,502530000,0.02,0.0041356
08/11/96,727.650024,730.820007,725.219971,730.820007,730.820007,402320000,0.02,0.004268423
11/11/96,730.820007,732.599976,729.940002,731.869995,731.869995,353960000,0.02,0.001357113
12/11/96,731.869995,733.039978,728.200012,729.559998,729.559998,471740000,0.02,-0.003239868
13/11/96,729.559998,732.109985,728.030029,731.130005,731.130005,429840000,0.02,0.002071098
14/11/96,731.130005,735.98999,729.200012,735.880005,735.880005,480350000,0.02,0.006397198
15/11/96,735.880005,741.919983,735.150024,737.619995,737.619995,529100000,0.02,0.002283129
18/11/96,737.619995,739.23999,734.390015,737.02002,737.02002,388520000,0.02,-0.000892306
19/11/96,737.02002,742.179993,736.869995,742.159973,742.159973,461980000,0.02,0.006871179
20/11/96,742.159973,746.98999,740.400024,743.950012,743.950012,497900000,0.02,0.002330446
21/11/96,743.950012,745.200012,741.080017,742.75,742.75,464430000,0.02,-0.001692912
22/11/96,742.75,748.72998,742.75,748.72998,748.72998,525210000,0.02,0.007940315
