Dates,beta_1,beta_2,beta_3,beta_4,beta_5
01-Aug-1996,0.147742359,0.033822451,0.2430744,0.001086062,-0.017056071
02-Aug-1996,0.14951217,-0.006973477,0.235991794,0.000238535,-0.027042868
05-Aug-1996,0.147077896,0.011781552,0.239998774,-0.00102055,-0.024096379
06-Aug-1996,0.1489465,0.002097001,0.239099122,0.000638789,-0.027797735
07-Aug-1996,0.148538312,-0.00351529,0.240897733,0.004454371,-0.026248859
08-Aug-1996,0.149835773,-0.010663579,0.235234562,0.002134692,-0.029164139
09-Aug-1996,0.149280467,-0.007511542,0.241128372,0.003033583,-0.026803731
12-Aug-1996,0.147838664,-0.013159726,0.233986385,0.007073719,-0.026136237
13-Aug-1996,0.148251509,-0.000397141,0.235264773,0.006897282,-0.023789847
14-Aug-1996,0.148164036,-0.005139724,0.233610529,0.006763132,-0.023254506
15-Aug-1996,0.149627311,-0.012163157,0.234584635,0.006515461,-0.022745511
16-Aug-1996,0.149186359,-0.023427091,0.227537479,0.003206412,-0.029564567
19-Aug-1996,0.147991085,-0.017126464,0.228539718,0.001912079,-0.028025786
20-Aug-1996,0.149160131,-0.024600663,0.225575304,0.000582035,-0.02935556
21-Aug-1996,0.150070739,-0.031149429,0.228948719,-0.001618492,-0.02840669
22-Aug-1996,0.149239916,-0.042919476,0.226264958,-9.76E-05,-0.030956177
23-Aug-1996,0.15007589,-0.03552833,0.224457889,-0.000726736,-0.03108732
26-Aug-1996,0.147790475,-0.012167455,0.228865486,0.000686975,-0.028743566
27-Aug-1996,0.150955411,-0.022441788,0.230165058,0.002814804,-0.027416326
28-Aug-1996,0.151012623,-0.020384819,0.2287644,0.00389246,-0.027682378
29-Aug-1996,0.15331202,-0.010925565,0.233947253,0.003610084,-0.025226834
30-Aug-1996,0.150624862,0.008137671,0.240917898,0.001927231,-0.022531803
03-sep-96,0.147847846,0.028044386,0.236734197,0.000383598,-0.023189673
04-sep-96,0.14932029,0.028121393,0.233725484,-0.000990683,-0.020599397
05-sep-96,0.146126253,0.06184141,0.239227681,-0.004742352,-0.016258116
06-sep-96,0.152440044,0.001116811,0.22941566,-0.001900463,-0.020356377
09-sep-96,0.1529818,-0.011192117,0.224243085,-0.003727802,-0.024040981
10-sep-96,0.153164495,-0.014113064,0.222354402,-0.004434319,-0.02422593
11-sep-96,0.151480121,-0.009046855,0.227870586,-0.0044375,-0.020776008
12-sep-96,0.150892331,-0.007665355,0.22481791,-0.003777877,-0.021952909
13-sep-96,0.152081893,-0.024968529,0.223571937,-0.00787929,-0.02288226
16-sep-96,0.148704995,-0.014183013,0.219868284,-0.009241247,-0.027418393
17-sep-96,0.151571381,-0.015620903,0.22013735,-0.009354565,-0.027671868
18-sep-96,0.152623417,-0.011866248,0.223896437,-0.006307616,-0.025559012
